runtime: 6.76
runtime: 0.00
(32, 32)  3   db2 error 6.161e-11 True
         1033043 function calls (1021110 primitive calls) in 15.470 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 _torch_docs.py:2(<module>)
      414    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
        1    0.000    0.000    0.006    0.006 numeric.py:1(<module>)
        1    0.000    0.000    0.007    0.007 _axes.py:71(Axes)
        1    0.000    0.000    0.002    0.002 _dill.py:8(<module>)
  631/625    0.000    0.000    0.000    0.000 typing.py:711(__eq__)
      572    0.000    0.000    0.000    0.000 sre_parse.py:168(__setitem__)
      140    0.000    0.000    0.000    0.000 _internal.py:781(_ufunc_doc_signature_formatter)
      757    0.000    0.000    0.000    0.000 __init__.py:907(<lambda>)
  226/223    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
    63/11    0.000    0.000    0.002    0.000 pyparsing.py:4049(parseImpl)
        1    0.000    0.000    0.001    0.001 kl.py:1(<module>)
     1208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:40(_relax_case)
      426    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
       17    0.000    0.000    0.000    0.000 cycler.py:349(by_key)
      616    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
       67    0.000    0.000    0.000    0.000 pyparsing.py:4442(__init__)
       17    0.000    0.000    0.002    0.000 enum.py:386(_create_)
      501    0.000    0.000    0.000    0.000 _tensor_docs.py:9(add_docstr_all)
       27    0.000    0.000    0.004    0.000 pyparsing.py:3294(__init__)
      130    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
